result_dir,output_file,strategy_dir,output_strategy,bbox_name,split,index,prompt,bbox_xyxy,threshold,inside_output_target_l1,inside_output_target_mse,outside_output_source_l1,outside_output_source_mse,outside_outer_output_source_l1,outside_outer_output_source_mse,whole_output_source_l1,whole_output_target_l1,clip_output_prompt_similarity,clip_target_prompt_similarity,lpips_output_target_whole,lpips_output_source_whole,lpips_output_target_inside_bbox,lpips_output_source_inside_bbox,changed_pixels,bbox_pixels,changed_bbox_iou,changed_inside_bbox_ratio,bbox_coverage_by_change,changed_center_x,changed_center_y,changed_to_bbox_center_distance_px,changed_to_bbox_center_distance_norm
results/all_strategies_matched/strategy_a,strategy_a_final_epoch_0010_step_002560_test_0_seed1234_strategy_a.png,strategy_a,strategy_a,original,test,0,Add a metallic spoon,"[0, 144, 504, 344]",0.08,0.18636193871498108,0.0840790793299675,0.0357108935713768,0.0031297968234866858,0.03420442342758179,0.0022519591730087996,0.07565674930810928,0.09404006600379944,nan,nan,0.05324866622686386,0.038490619510412216,0.11867816001176834,0.07759792357683182,46702,100800,0.3140138793617988,0.7547642499250568,0.3496924603174603,211.55560302734375,233.5035400390625,41.78426639529968,0.057706910380901526
results/all_strategies_matched/strategy_a,strategy_a_final_epoch_0010_step_002560_test_1_seed1234_strategy_a.png,strategy_a,strategy_a,original,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[184, 136, 392, 360]",0.08,0.17943507432937622,0.07913152128458023,0.03240010514855385,0.006006099283695221,0.026771705597639084,0.002343233209103346,0.06368044763803482,0.05876479297876358,nan,nan,0.03626351058483124,0.03835403546690941,0.12930577993392944,0.1424604058265686,40375,46592,0.41688525391420517,0.6337585139318885,0.5491929945054945,245.31915283203125,225.87095642089844,48.07649409744103,0.06639690428120229
results/all_strategies_matched/strategy_a,strategy_a_final_epoch_0010_step_002560_test_2_seed1234_strategy_a.png,strategy_a,strategy_a,original,test,2,Add a person in a yellow vest,"[88, 0, 288, 512]",0.08,0.17983154952526093,0.07321768999099731,0.04084008187055588,0.004465595819056034,0.042817942798137665,0.004835546016693115,0.0852266401052475,0.09603149443864822,nan,nan,0.05442013218998909,0.05382508784532547,0.12193716317415237,0.12590600550174713,64945,102400,0.34359694901645926,0.6589421818461776,0.417919921875,219.619140625,293.64373779296875,49.16117420169405,0.06789492118966996
results/all_strategies_matched/strategy_b,strategy_b_final_epoch_0010_step_002560_test_0_seed1234_bbox_original_strategy_b.png,strategy_b,strategy_b,original,test,0,Add a metallic spoon,"[0, 144, 504, 344]",0.08,0.15979506075382233,0.06068244203925133,0.008077669888734818,0.0015271503943949938,0.0,0.0,0.04787217080593109,0.06802284717559814,nan,nan,0.04262663796544075,0.027710050344467163,0.10439229756593704,0.06257263571023941,32647,100800,0.2863353318810125,0.9098845223144546,0.2946924603174603,236.36160278320312,241.37127685546875,15.857794704211381,0.021900691738304664
results/all_strategies_matched/strategy_b,strategy_b_final_epoch_0010_step_002560_test_1_seed1234_bbox_original_strategy_b.png,strategy_b,strategy_b,original,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[184, 136, 392, 360]",0.08,0.19987832009792328,0.08826964348554611,0.004542585462331772,0.0014545631129294634,0.0,0.0,0.04818115755915642,0.04063606262207031,nan,nan,0.03263505548238754,0.03753875195980072,0.16071946918964386,0.18852598965168,28418,46592,0.5461197567762548,0.9323316208037159,0.5686598557692307,276.1661376953125,238.49423217773438,15.17893009856506,0.020963133601273325
results/all_strategies_matched/strategy_b,strategy_b_final_epoch_0010_step_002560_test_2_seed1234_bbox_original_strategy_b.png,strategy_b,strategy_b,original,test,2,Add a person in a yellow vest,"[88, 0, 288, 512]",0.08,0.20157058537006378,0.08344441652297974,0.008535241708159447,0.0026450324803590775,0.0,0.0,0.029083076864480972,0.08620736002922058,nan,nan,0.06304776668548584,0.015649840235710144,0.1537722498178482,0.02963823825120926,23014,102400,0.1855331940597616,0.8528287129573303,0.191669921875,228.8520965576172,301.9027099609375,61.448780092942684,0.08486493964718886
results/all_strategies_matched/strategy_c,strategy_c_final_epoch_0010_step_002560_test_0_seed1234_bbox_original_strategy_c.png,strategy_c,strategy_c,original,test,0,Add a metallic spoon,"[0, 144, 504, 344]",0.08,0.1958313137292862,0.084568090736866,0.03430672362446785,0.002403093269094825,0.034196846187114716,0.0022724526934325695,0.0906875804066658,0.09685468673706055,nan,nan,0.050711121410131454,0.04578615725040436,0.1140722930431366,0.10044297575950623,57295,100800,0.41532828418470574,0.8097216161968758,0.4602480158730159,265.19793701171875,239.09115600585938,14.08127447087465,0.019447196613485308
results/all_strategies_matched/strategy_c,strategy_c_final_epoch_0010_step_002560_test_1_seed1234_bbox_original_strategy_c.png,strategy_c,strategy_c,original,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[184, 136, 392, 360]",0.08,0.18075117468833923,0.08500603586435318,0.02327137626707554,0.0018644013907760382,0.02365655079483986,0.0015754883643239737,0.05851692706346512,0.05159977823495865,nan,nan,0.03284769132733345,0.03599924594163895,0.1464828997850418,0.1646745800971985,33425,46592,0.40817978635411717,0.6939117427075542,0.49781078296703296,262.1657409667969,220.5382843017578,37.70351136016006,0.05207111046350235
results/all_strategies_matched/strategy_c,strategy_c_final_epoch_0010_step_002560_test_2_seed1234_bbox_original_strategy_c.png,strategy_c,strategy_c,original,test,2,Add a person in a yellow vest,"[88, 0, 288, 512]",0.08,0.18059837818145752,0.07289734482765198,0.04008597135543823,0.004424575250595808,0.04214341938495636,0.004801605828106403,0.08095709979534149,0.09587973356246948,nan,nan,0.05342506989836693,0.050725627690553665,0.11939779669046402,0.11823282390832901,61304,102400,0.3151450882097754,0.6398929923006655,0.3830859375,224.61224365234375,301.05242919921875,58.05323214093427,0.08017545725908487
results/all_strategies_matched/strategy_cplus,strategy_c_final_epoch_0010_step_002560_test_0_seed1234_bbox_original_strategy_c.png,strategy_cplus,strategy_c,original,test,0,Add a metallic spoon,"[0, 144, 504, 344]",0.08,0.16425135731697083,0.05841057747602463,0.0335933119058609,0.0022749484051018953,0.03340499475598335,0.0021617673337459564,0.08769489824771881,0.0843021348118782,nan,nan,0.040877748280763626,0.04227687045931816,0.09150223433971405,0.09636497497558594,54138,100800,0.39578753918777704,0.811518711441132,0.4358531746031746,228.32762145996094,236.67095947265625,24.780967309496802,0.03422419927520965
results/all_strategies_matched/strategy_cplus,strategy_c_final_epoch_0010_step_002560_test_1_seed1234_bbox_original_strategy_c.png,strategy_cplus,strategy_c,original,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[184, 136, 392, 360]",0.08,0.1738453060388565,0.07286267727613449,0.024108991026878357,0.0018689287826418877,0.024572309106588364,0.0016648374730721116,0.05847202241420746,0.051030371338129044,nan,nan,0.03376258164644241,0.036668214946985245,0.15329164266586304,0.1696057766675949,35670,46592,0.43311092141251895,0.6969722455845249,0.5335894574175825,261.4946594238281,218.35452270507812,39.766661955746194,0.05492046158996333
