strategy_dir,bbox_name,num_outputs,mean_index,mean_threshold,mean_inside_output_target_l1,mean_inside_output_target_mse,mean_outside_output_source_l1,mean_outside_output_source_mse,mean_outside_outer_output_source_l1,mean_outside_outer_output_source_mse,mean_whole_output_source_l1,mean_whole_output_target_l1,mean_clip_output_prompt_similarity,mean_clip_target_prompt_similarity,mean_lpips_output_target_whole,mean_lpips_output_source_whole,mean_lpips_output_target_inside_bbox,mean_lpips_output_source_inside_bbox,mean_changed_pixels,mean_bbox_pixels,mean_changed_bbox_iou,mean_changed_inside_bbox_ratio,mean_bbox_coverage_by_change,mean_changed_center_x,mean_changed_center_y,mean_changed_to_bbox_center_distance_px,mean_changed_to_bbox_center_distance_norm
strategy_a,original,3,1.0,0.08,0.18187618752320608,0.07880943020184834,0.036317026863495507,0.004533830642079313,0.034598023941119514,0.0031435794662684202,0.07485461235046387,0.08294545114040375,nan,nan,nan,nan,nan,nan,50674.0,83264.0,0.3581653607641544,0.6824883152343743,0.43893512556598496,225.49796549479166,251.0060780843099,46.34064489814492,0.06399957861725793
strategy_b,original,3,1.0,0.08,0.18708132207393646,0.07746550068259239,0.007051832353075345,0.0018755819958945115,0.0,0.0,0.04171213507652283,0.06495542327562968,nan,nan,nan,nan,nan,nan,28026.333333333332,83264.0,0.3393294275723429,0.8983482853585003,0.3516740793205637,247.1266123453776,260.5894063313802,30.828501631906374,0.042576254995588945
strategy_c,original,3,1.0,0.08,0.18572695553302765,0.08082382380962372,0.03255469041566054,0.0028973566368222237,0.03333227212230364,0.0028831822952876487,0.07672053575515747,0.08144473284482956,nan,nan,nan,nan,nan,nan,50674.666666666664,83264.0,0.37955105291619945,0.7145087837350319,0.4470482454466829,250.65864054361978,253.5606231689453,36.612672657322996,0.05056458811202417
strategy_cplus,original,3,1.0,0.08,0.17607855796813965,0.07200692594051361,0.03274432569742203,0.002872679615393281,0.03351672366261482,0.0028941596004491052,0.07956697046756744,0.07840022072196007,nan,nan,nan,nan,nan,nan,51630.0,83264.0,0.39127044433350694,0.7228194609115874,0.4629652523402523,238.23641459147134,247.8446044921875,37.905031491585476,0.05234942345466742
