step,epoch,loss,metric,learning_rate
1,1,0.8215435147285461,,1e-05
2,1,1.3978618383407593,,1e-05
3,1,0.2972015142440796,,1e-05
4,1,0.23582468926906586,,1e-05
5,1,0.07162352651357651,,1e-05
6,1,0.8963356018066406,,1e-05
7,1,0.08225740492343903,,1e-05
8,1,0.011643833480775356,,1e-05
9,1,0.0020673293620347977,,1e-05
10,1,0.041538089513778687,,1e-05
11,1,0.1207343190908432,,1e-05
12,1,0.004069461952894926,,1e-05
13,1,0.1864175796508789,,1e-05
14,1,0.052356988191604614,,1e-05
15,1,0.4153327941894531,,1e-05
16,1,0.05730769410729408,,1e-05
17,1,0.07928729802370071,,1e-05
18,1,0.15604420006275177,,1e-05
19,1,0.022221148014068604,,1e-05
20,1,0.014128617942333221,,1e-05
21,1,1.228792428970337,,1e-05
22,1,2.8952877521514893,,1e-05
23,1,0.5521769523620605,,1e-05
24,1,0.037055499851703644,,1e-05
25,1,0.16265003383159637,,1e-05
26,1,0.49734607338905334,,1e-05
27,1,0.2898125946521759,,1e-05
28,1,0.3330692648887634,,1e-05
29,1,0.852107048034668,,1e-05
30,1,0.058526720851659775,,1e-05
31,1,0.2134929746389389,,1e-05
32,1,0.049239881336688995,,1e-05
33,1,2.472539186477661,,1e-05
34,1,1.0077606439590454,,1e-05
35,1,0.8689261674880981,,1e-05
36,1,0.19985328614711761,,1e-05
37,1,0.022970454767346382,,1e-05
38,1,0.514490008354187,,1e-05
39,1,0.03756057843565941,,1e-05
40,1,0.06570123136043549,,1e-05
41,1,0.013108815997838974,,1e-05
42,1,1.309874176979065,,1e-05
43,1,0.32395675778388977,,1e-05
44,1,0.3310917615890503,,1e-05
45,1,0.20214402675628662,,1e-05
46,1,1.4101592302322388,,1e-05
47,1,0.0359882116317749,,1e-05
48,1,0.0016580541850998998,,1e-05
49,1,0.094108946621418,,1e-05
50,1,0.006936488673090935,,1e-05
51,1,0.5793350338935852,,1e-05
52,1,0.08280760049819946,,1e-05
53,1,0.4633778929710388,,1e-05
54,1,0.5989083647727966,,1e-05
55,1,0.016494961455464363,,1e-05
56,1,0.008357301354408264,,1e-05
57,1,0.004834917839616537,,1e-05
58,1,0.027791131287813187,,1e-05
59,1,0.21995413303375244,,1e-05
60,1,0.007074210327118635,,1e-05
61,1,0.07931455969810486,,1e-05
62,1,0.15194450318813324,,1e-05
63,1,1.0783888101577759,,1e-05
64,1,1.1370762586593628,,1e-05
65,1,0.8982154726982117,,1e-05
66,1,0.35922345519065857,,1e-05
67,1,0.8185865879058838,,1e-05
68,1,1.0719325542449951,,1e-05
69,1,0.05891360715031624,,1e-05
70,1,0.042837124317884445,,1e-05
71,1,0.008585603907704353,,1e-05
