step,epoch,loss,metric,learning_rate
1,1,0.3317118287086487,,1e-05
2,1,0.7242655754089355,,1e-05
3,1,0.22422952950000763,,1e-05
4,1,0.33627963066101074,,1e-05
5,1,0.0937412902712822,,1e-05
6,1,0.30215635895729065,,1e-05
7,1,0.8568979501724243,,1e-05
8,1,0.009331109002232552,,1e-05
9,1,0.012764498591423035,,1e-05
10,1,0.11686091125011444,,1e-05
11,1,0.08314834535121918,,1e-05
12,1,0.012456276454031467,,1e-05
13,1,0.12957359850406647,,1e-05
14,1,0.0815649926662445,,1e-05
15,1,1.3873815536499023,,1e-05
16,1,0.05751815438270569,,1e-05
17,1,0.24913042783737183,,1e-05
18,1,0.4470387399196625,,1e-05
19,1,0.06627702713012695,,1e-05
20,1,0.07109645009040833,,1e-05
21,1,0.44948744773864746,,1e-05
22,1,1.0800453424453735,,1e-05
23,1,0.95802241563797,,1e-05
24,1,0.03495665267109871,,1e-05
25,1,0.15172244608402252,,1e-05
26,1,0.3793489336967468,,1e-05
27,1,0.6341512799263,,1e-05
28,1,0.48872002959251404,,1e-05
29,1,0.3856883645057678,,1e-05
30,1,0.055039383471012115,,1e-05
31,1,0.2378804087638855,,1e-05
32,1,0.04943917319178581,,1e-05
33,1,1.0492362976074219,,1e-05
34,1,0.33825212717056274,,1e-05
35,1,0.9302421808242798,,1e-05
36,1,0.6494293808937073,,1e-05
37,1,0.03847252205014229,,1e-05
38,1,0.05542824789881706,,1e-05
39,1,0.057036351412534714,,1e-05
40,1,0.0889168307185173,,1e-05
41,1,0.0068259029649198055,,1e-05
42,1,0.468603253364563,,1e-05
43,1,0.503698468208313,,1e-05
44,1,0.5902059674263,,1e-05
45,1,0.14588166773319244,,1e-05
46,1,0.7490222454071045,,1e-05
47,1,0.020995937287807465,,1e-05
48,1,0.004588015843182802,,1e-05
49,1,0.10071142762899399,,1e-05
50,1,0.0069281659089028835,,1e-05
51,1,0.2126634269952774,,1e-05
52,1,0.2932313084602356,,1e-05
53,1,0.8418151140213013,,1e-05
54,1,0.20444974303245544,,1e-05
55,1,0.011130133643746376,,1e-05
56,1,0.009090198203921318,,1e-05
57,1,0.0014720471808686852,,1e-05
58,1,0.17921143770217896,,1e-05
59,1,0.15534448623657227,,1e-05
60,1,0.03354454040527344,,1e-05
61,1,0.2681298851966858,,1e-05
62,1,0.2519572675228119,,1e-05
63,1,0.41296276450157166,,1e-05
64,1,0.8306018710136414,,1e-05
65,1,0.4317170977592468,,1e-05
