step,epoch,loss,metric,learning_rate
1,1,0.8215013742446899,,5e-05
2,1,1.394668459892273,,5e-05
3,1,0.29672256112098694,,5e-05
4,1,0.23487527668476105,,5e-05
5,1,0.07163091003894806,,5e-05
6,1,0.8899139761924744,,5e-05
7,1,0.08105641603469849,,5e-05
8,1,0.01152903400361538,,5e-05
9,1,0.0020455154590308666,,5e-05
10,1,0.040817588567733765,,5e-05
11,1,0.12071863561868668,,5e-05
12,1,0.004077452700585127,,5e-05
13,1,0.1857210248708725,,5e-05
14,1,0.05236968398094177,,5e-05
15,1,0.4107275903224945,,5e-05
16,1,0.05670465901494026,,5e-05
17,1,0.07713950425386429,,5e-05
18,1,0.15634986758232117,,5e-05
19,1,0.021772341802716255,,5e-05
20,1,0.013998907059431076,,5e-05
21,1,1.2253849506378174,,5e-05
22,1,2.8931169509887695,,5e-05
23,1,0.5436729788780212,,5e-05
24,1,0.037030402570962906,,5e-05
25,1,0.16195406019687653,,5e-05
26,1,0.48356667160987854,,5e-05
27,1,0.2824331820011139,,5e-05
28,1,0.32798317074775696,,5e-05
29,1,0.8420027494430542,,5e-05
30,1,0.05793767049908638,,5e-05
31,1,0.2053336203098297,,5e-05
32,1,0.04746604710817337,,5e-05
33,1,2.465054988861084,,5e-05
34,1,0.9663589000701904,,5e-05
35,1,0.850006103515625,,5e-05
36,1,0.18766522407531738,,5e-05
37,1,0.022401846945285797,,5e-05
38,1,0.5141948461532593,,5e-05
39,1,0.037341248244047165,,5e-05
40,1,0.06525298207998276,,5e-05
41,1,0.012943137437105179,,5e-05
42,1,1.3067182302474976,,5e-05
43,1,0.3196873664855957,,5e-05
44,1,0.3271408677101135,,5e-05
45,1,0.19947539269924164,,5e-05
46,1,1.3465029001235962,,5e-05
47,1,0.03560638055205345,,5e-05
48,1,0.0017288490198552608,,5e-05
49,1,0.09410703927278519,,5e-05
50,1,0.006977451033890247,,5e-05
51,1,0.579073965549469,,5e-05
52,1,0.08236826211214066,,5e-05
53,1,0.45066624879837036,,5e-05
54,1,0.5968211889266968,,5e-05
55,1,0.016362786293029785,,5e-05
56,1,0.008105023764073849,,5e-05
57,1,0.004649394657462835,,5e-05
58,1,0.025497600436210632,,5e-05
59,1,0.21936342120170593,,5e-05
60,1,0.007076560519635677,,5e-05
61,1,0.07681853324174881,,5e-05
62,1,0.147794708609581,,5e-05
63,1,1.0441057682037354,,5e-05
64,1,1.1293137073516846,,5e-05
65,1,0.8884555697441101,,5e-05
66,1,0.3459766209125519,,5e-05
67,1,0.8060523271560669,,5e-05
68,1,1.0452131032943726,,5e-05
69,1,0.06015480309724808,,5e-05
70,1,0.04209188371896744,,5e-05
71,1,0.008581645786762238,,5e-05
72,1,0.08468632400035858,,5e-05
73,1,0.10387997329235077,,5e-05
74,1,0.05487237498164177,,5e-05
75,1,0.0025517139583826065,,5e-05
76,1,0.021477311849594116,,5e-05
77,1,1.7162991762161255,,5e-05
78,1,0.005684107542037964,,5e-05
79,1,0.13692417740821838,,5e-05
80,1,0.25570619106292725,,5e-05
81,1,0.12882575392723083,,5e-05
82,1,1.5379406213760376,,5e-05
83,1,0.002950825961306691,,5e-05
84,1,0.24479413032531738,,5e-05
85,1,0.04717085510492325,,5e-05
86,1,0.04595038294792175,,5e-05
87,1,0.14967815577983856,,5e-05
88,1,0.3385503590106964,,5e-05
89,1,0.08120168000459671,,5e-05
90,1,0.27891653776168823,,5e-05
91,1,0.7072502970695496,,5e-05
92,1,0.48935309052467346,,5e-05
93,1,0.023204276338219643,,5e-05
94,1,0.01619039662182331,,5e-05
95,1,0.7973513603210449,,5e-05
96,1,0.08903900533914566,,5e-05
97,1,0.23402366042137146,,5e-05
98,1,0.6871881484985352,,5e-05
99,1,0.00481741176918149,,5e-05
100,1,0.02327554300427437,,5e-05
101,1,0.003941662609577179,,5e-05
102,1,0.0056448220275342464,,5e-05
103,1,1.7015379667282104,,5e-05
104,1,0.1182403415441513,,5e-05
105,1,1.1960800886154175,,5e-05
106,1,0.20149610936641693,,5e-05
107,1,0.027553105726838112,,5e-05
108,1,0.9911152124404907,,5e-05
109,1,1.5505889654159546,,5e-05
110,1,0.320666640996933,,5e-05
111,1,0.025212019681930542,,5e-05
112,1,0.25916898250579834,,5e-05
113,1,0.21056322753429413,,5e-05
114,1,0.048884835094213486,,5e-05
115,1,0.051367584615945816,,5e-05
116,1,0.007492683827877045,,5e-05
117,1,0.2883024513721466,,5e-05
118,1,0.0012628193944692612,,5e-05
119,1,0.13581573963165283,,5e-05
120,1,0.09581632912158966,,5e-05
121,1,0.07073114067316055,,5e-05
122,1,0.0881848931312561,,5e-05
123,1,0.5667047500610352,,5e-05
124,1,1.257904291152954,,5e-05
125,1,0.01612371951341629,,5e-05
126,1,0.34670934081077576,,5e-05
127,1,0.16759100556373596,,5e-05
128,1,0.7384107112884521,,5e-05
129,1,0.030534934252500534,,5e-05
130,1,0.20793312788009644,,5e-05
131,1,0.3070189356803894,,5e-05
132,1,0.009057445451617241,,5e-05
133,1,0.08223035931587219,,5e-05
134,1,0.16068755090236664,,5e-05
135,1,0.08658508956432343,,5e-05
136,1,1.286790370941162,,5e-05
137,1,0.08082237839698792,,5e-05
138,1,0.37062862515449524,,5e-05
139,1,0.9347872734069824,,5e-05
140,1,0.0522710345685482,,5e-05
141,1,0.08609107881784439,,5e-05
142,1,0.14491185545921326,,5e-05
143,1,0.007430402562022209,,5e-05
144,1,0.5475680232048035,,5e-05
145,1,0.6493126153945923,,5e-05
146,1,0.049457523971796036,,5e-05
147,1,0.040608830749988556,,5e-05
148,1,0.05586004629731178,,5e-05
149,1,0.0532999262213707,,5e-05
150,1,0.03410858288407326,,5e-05
151,1,0.024208547547459602,,5e-05
152,1,0.1727750599384308,,5e-05
153,1,0.0024561481550335884,,5e-05
154,1,0.05158296599984169,,5e-05
155,1,0.035535622388124466,,5e-05
156,1,0.2282872051000595,,5e-05
157,1,1.5463261604309082,,5e-05
158,1,0.033293548971414566,,5e-05
159,1,0.210343137383461,,5e-05
160,1,0.04285482317209244,,5e-05
161,1,0.0043910713866353035,,5e-05
162,1,0.1271451711654663,,5e-05
163,1,0.09147261828184128,,5e-05
164,1,0.028804542496800423,,5e-05
165,1,0.03843807429075241,,5e-05
166,1,0.18478475511074066,,5e-05
167,1,0.028645969927310944,,5e-05
168,1,0.09018692374229431,,5e-05
169,1,0.5621780753135681,,5e-05
170,1,0.8185091018676758,,5e-05
171,1,0.217755526304245,,5e-05
172,1,0.34577882289886475,,5e-05
173,1,0.26586055755615234,,5e-05
174,1,0.2288716733455658,,5e-05
175,1,0.8989815711975098,,5e-05
176,1,0.05228716507554054,,5e-05
177,1,0.06500355154275894,,5e-05
178,1,0.03952932357788086,,5e-05
179,1,0.06221042945981026,,5e-05
180,1,0.019034750759601593,,5e-05
181,1,0.005813728552311659,,5e-05
182,1,0.004899533465504646,,5e-05
183,1,0.08553135395050049,,5e-05
184,1,0.21930603682994843,,5e-05
185,1,0.0067399535328149796,,5e-05
186,1,0.6109695434570312,,5e-05
187,1,0.13724619150161743,,5e-05
188,1,0.022862713783979416,,5e-05
189,1,0.19001203775405884,,5e-05
190,1,0.07594218105077744,,5e-05
191,1,0.009929874911904335,,5e-05
192,1,0.6972465515136719,,5e-05
193,1,0.5631875395774841,,5e-05
194,1,0.05752316117286682,,5e-05
195,1,0.18748736381530762,,5e-05
196,1,0.8977462649345398,,5e-05
197,1,0.06662286818027496,,5e-05
198,1,0.05871577560901642,,5e-05
199,1,0.3843570649623871,,5e-05
200,1,0.05442008748650551,,5e-05
201,1,0.012683282606303692,,5e-05
202,1,0.01911340095102787,,5e-05
203,1,0.055613476783037186,,5e-05
204,1,0.6596863865852356,,5e-05
205,1,0.1881924271583557,,5e-05
206,1,0.17405717074871063,,5e-05
207,1,0.30993080139160156,,5e-05
208,1,1.8815586566925049,,5e-05
209,1,0.8243100047111511,,5e-05
210,1,0.021633697673678398,,5e-05
211,1,0.22587332129478455,,5e-05
212,1,0.10788258910179138,,5e-05
213,1,0.0696692243218422,,5e-05
214,1,0.7624083161354065,,5e-05
215,1,0.3406471014022827,,5e-05
216,1,0.020479585975408554,,5e-05
217,1,0.6887381076812744,,5e-05
218,1,0.2367633432149887,,5e-05
219,1,0.04585440829396248,,5e-05
220,1,0.32598093152046204,,5e-05
221,1,0.08080297708511353,,5e-05
222,1,0.7534556984901428,,5e-05
223,1,0.3298611640930176,,5e-05
224,1,0.057069893926382065,,5e-05
225,1,0.6406463384628296,,5e-05
226,1,0.6681534051895142,,5e-05
227,1,0.16030733287334442,,5e-05
228,1,0.08736426383256912,,5e-05
229,1,0.4091009199619293,,5e-05
230,1,0.004867746029049158,,5e-05
231,1,0.08023693412542343,,5e-05
232,1,0.47541356086730957,,5e-05
233,1,0.04345124214887619,,5e-05
234,1,0.01488565281033516,,5e-05
235,1,1.2387889623641968,,5e-05
236,1,0.7226260900497437,,5e-05
237,1,0.0022665972355753183,,5e-05
238,1,0.6637702584266663,,5e-05
239,1,0.05954120680689812,,5e-05
240,1,0.5486207604408264,,5e-05
241,1,0.23450826108455658,,5e-05
242,1,1.2578439712524414,,5e-05
243,1,0.07520202547311783,,5e-05
244,1,0.03601429611444473,,5e-05
245,1,0.4232487380504608,,5e-05
246,1,1.0434963703155518,,5e-05
247,1,0.53289395570755,,5e-05
248,1,0.2792084217071533,,5e-05
249,1,0.13218338787555695,,5e-05
250,1,0.034111108630895615,,5e-05
251,1,0.012926689349114895,,5e-05
252,1,0.02103200927376747,,5e-05
253,1,0.042396046221256256,,5e-05
254,1,0.14998802542686462,,5e-05
255,1,0.04797596484422684,,5e-05
256,1,0.2642311453819275,,5e-05
257,2,1.323191523551941,,5e-05
258,2,0.0032658930867910385,,5e-05
259,2,0.03405458852648735,,5e-05
260,2,0.42998990416526794,,5e-05
261,2,0.14275674521923065,,5e-05
262,2,0.3740360736846924,,5e-05
263,2,0.011604477651417255,,5e-05
264,2,0.014864220283925533,,5e-05
265,2,0.05210120230913162,,5e-05
266,2,0.1448364108800888,,5e-05
267,2,0.0013838241575285792,,5e-05
268,2,0.13496868312358856,,5e-05
269,2,0.0022800182923674583,,5e-05
270,2,0.016332516446709633,,5e-05
271,2,0.024305293336510658,,5e-05
272,2,0.06692591309547424,,5e-05
273,2,0.15150734782218933,,5e-05
274,2,0.5466716289520264,,5e-05
275,2,0.275505006313324,,5e-05
276,2,0.011404757387936115,,5e-05
277,2,0.016847392544150352,,5e-05
278,2,0.03290705010294914,,5e-05
279,2,0.01285092905163765,,5e-05
280,2,0.20334336161613464,,5e-05
281,2,0.6490040421485901,,5e-05
282,2,0.20274847745895386,,5e-05
283,2,0.014471502043306828,,5e-05
284,2,0.04302414879202843,,5e-05
285,2,0.15613967180252075,,5e-05
286,2,0.07961709052324295,,5e-05
287,2,0.008827060461044312,,5e-05
288,2,0.007776093669235706,,5e-05
289,2,0.010754748247563839,,5e-05
290,2,0.11851846426725388,,5e-05
291,2,0.19873851537704468,,5e-05
292,2,0.014269760809838772,,5e-05
293,2,0.020115068182349205,,5e-05
294,2,0.006317300256341696,,5e-05
295,2,0.15019027888774872,,5e-05
296,2,0.025737415999174118,,5e-05
297,2,0.026527289301156998,,5e-05
298,2,0.4299112856388092,,5e-05
299,2,0.03450390323996544,,5e-05
300,2,0.28648391366004944,,5e-05
301,2,0.8341051340103149,,5e-05
302,2,0.7097659111022949,,5e-05
303,2,0.010289599187672138,,5e-05
304,2,0.07117393612861633,,5e-05
305,2,0.4233887791633606,,5e-05
306,2,0.3474637269973755,,5e-05
307,2,0.4830069839954376,,5e-05
308,2,0.07125640660524368,,5e-05
309,2,0.08180228620767593,,5e-05
310,2,2.778768301010132,,5e-05
311,2,0.35091209411621094,,5e-05
312,2,0.004990413319319487,,5e-05
313,2,0.0553814098238945,,5e-05
314,2,0.1289915293455124,,5e-05
315,2,1.1286760568618774,,5e-05
316,2,0.033081457018852234,,5e-05
317,2,0.008603747934103012,,5e-05
318,2,0.01218362059444189,,5e-05
319,2,0.0019549911376088858,,5e-05
320,2,0.034778278321027756,,5e-05
321,2,0.02742505632340908,,5e-05
322,2,1.7369704246520996,,5e-05
323,2,0.5532808899879456,,5e-05
324,2,0.021690744906663895,,5e-05
325,2,0.002091452945023775,,5e-05
326,2,0.536217212677002,,5e-05
327,2,0.013411157764494419,,5e-05
328,2,0.01453220285475254,,5e-05
329,2,0.43117883801460266,,5e-05
330,2,0.07583586126565933,,5e-05
331,2,0.2867453694343567,,5e-05
332,2,0.3839423656463623,,5e-05
333,2,0.02576027438044548,,5e-05
334,2,0.04111683368682861,,5e-05
335,2,0.01675460860133171,,5e-05
336,2,0.505871057510376,,5e-05
337,2,0.21195776760578156,,5e-05
338,2,0.10407382994890213,,5e-05
339,2,0.1281311810016632,,5e-05
340,2,0.48990529775619507,,5e-05
341,2,0.01624271646142006,,5e-05
342,2,0.42653176188468933,,5e-05
343,2,0.0027799084782600403,,5e-05
344,2,0.31084680557250977,,5e-05
345,2,0.022067511454224586,,5e-05
346,2,1.6859263181686401,,5e-05
347,2,0.44366854429244995,,5e-05
348,2,0.25490590929985046,,5e-05
349,2,0.33527547121047974,,5e-05
350,2,0.0030491582583636045,,5e-05
351,2,0.7046847343444824,,5e-05
352,2,0.08366359025239944,,5e-05
353,2,0.11001812666654587,,5e-05
354,2,0.6258076429367065,,5e-05
355,2,0.43161630630493164,,5e-05
356,2,0.021403664723038673,,5e-05
357,2,0.04174785315990448,,5e-05
358,2,0.013199097476899624,,5e-05
359,2,0.05499197170138359,,5e-05
360,2,0.4925449788570404,,5e-05
361,2,0.015049324370920658,,5e-05
362,2,0.16872604191303253,,5e-05
363,2,1.9657131433486938,,5e-05
364,2,1.081958532333374,,5e-05
365,2,0.024850184097886086,,5e-05
366,2,0.14476202428340912,,5e-05
367,2,0.11044614762067795,,5e-05
368,2,0.6679741740226746,,5e-05
369,2,0.03915664553642273,,5e-05
370,2,0.022226043045520782,,5e-05
371,2,0.042795613408088684,,5e-05
372,2,0.005501036997884512,,5e-05
373,2,0.0189316775649786,,5e-05
374,2,0.020644022151827812,,5e-05
375,2,0.8150151371955872,,5e-05
376,2,0.006898408755660057,,5e-05
377,2,0.4529540538787842,,5e-05
378,2,0.8417772054672241,,5e-05
379,2,0.5523223280906677,,5e-05
380,2,0.3466266393661499,,5e-05
381,2,1.1241596937179565,,5e-05
382,2,0.0038390092086046934,,5e-05
383,2,0.2664555311203003,,5e-05
384,2,0.5733808279037476,,5e-05
385,2,0.24582059681415558,,5e-05
386,2,0.11007606983184814,,5e-05
387,2,2.3953018188476562,,5e-05
388,2,0.32963764667510986,,5e-05
389,2,0.002488217782229185,,5e-05
390,2,0.01809913106262684,,5e-05
391,2,0.20176473259925842,,5e-05
392,2,0.21073263883590698,,5e-05
393,2,1.6277046203613281,,5e-05
394,2,0.4294441044330597,,5e-05
395,2,0.01879711262881756,,5e-05
396,2,0.9963520765304565,,5e-05
397,2,0.39479199051856995,,5e-05
398,2,0.14647798240184784,,5e-05
399,2,0.5306335687637329,,5e-05
400,2,0.1700085550546646,,5e-05
401,2,0.3533494174480438,,5e-05
402,2,0.08192850649356842,,5e-05
403,2,0.3429130017757416,,5e-05
404,2,0.396043062210083,,5e-05
405,2,0.012865439988672733,,5e-05
406,2,1.9249285459518433,,5e-05
407,2,1.2916769981384277,,5e-05
408,2,0.02965034358203411,,5e-05
409,2,0.37214967608451843,,5e-05
410,2,0.04740096628665924,,5e-05
411,2,0.31934788823127747,,5e-05
412,2,0.024348184466362,,5e-05
413,2,0.5788868069648743,,5e-05
414,2,0.0062751686200499535,,5e-05
415,2,0.6088816523551941,,5e-05
416,2,1.1935700178146362,,5e-05
417,2,0.21139882504940033,,5e-05
418,2,0.5877089500427246,,5e-05
419,2,0.01723630540072918,,5e-05
420,2,0.3724282681941986,,5e-05
421,2,0.1047554612159729,,5e-05
422,2,0.4526738226413727,,5e-05
423,2,0.0076703098602592945,,5e-05
424,2,2.1474738121032715,,5e-05
425,2,0.23213809728622437,,5e-05
426,2,0.23219528794288635,,5e-05
427,2,0.10490923374891281,,5e-05
428,2,0.1663082242012024,,5e-05
429,2,0.16219033300876617,,5e-05
430,2,0.16301320493221283,,5e-05
431,2,0.44301101565361023,,5e-05
432,2,0.2761092483997345,,5e-05
433,2,0.35485967993736267,,5e-05
434,2,0.6829137206077576,,5e-05
435,2,0.004836065229028463,,5e-05
436,2,1.2243070602416992,,5e-05
437,2,0.16660858690738678,,5e-05
438,2,0.0038066874258220196,,5e-05
439,2,0.4224708676338196,,5e-05
440,2,0.42693987488746643,,5e-05
441,2,0.01437443494796753,,5e-05
442,2,0.016817089170217514,,5e-05
443,2,0.20513029396533966,,5e-05
444,2,1.0559381246566772,,5e-05
445,2,0.05723017454147339,,5e-05
446,2,0.007874460890889168,,5e-05
447,2,0.11505328863859177,,5e-05
448,2,0.6139373779296875,,5e-05
449,2,0.7599185705184937,,5e-05
450,2,0.044295985251665115,,5e-05
451,2,0.5800573229789734,,5e-05
452,2,0.4652135670185089,,5e-05
453,2,0.1542678326368332,,5e-05
454,2,0.30268627405166626,,5e-05
455,2,0.001315597677603364,,5e-05
456,2,0.007240296807140112,,5e-05
457,2,0.2696422040462494,,5e-05
458,2,0.2123972326517105,,5e-05
459,2,0.01583896391093731,,5e-05
460,2,0.2906653881072998,,5e-05
461,2,1.0997051000595093,,5e-05
462,2,0.06182137504220009,,5e-05
463,2,0.5042293071746826,,5e-05
464,2,0.025611404329538345,,5e-05
465,2,0.012075447477400303,,5e-05
466,2,0.13783352077007294,,5e-05
467,2,0.012047377415001392,,5e-05
468,2,0.2484143227338791,,5e-05
469,2,0.09483160078525543,,5e-05
470,2,2.006704568862915,,5e-05
471,2,0.9996110200881958,,5e-05
472,2,0.27196040749549866,,5e-05
473,2,0.16510345041751862,,5e-05
474,2,0.21054954826831818,,5e-05
475,2,0.046934280544519424,,5e-05
476,2,0.049402978271245956,,5e-05
477,2,0.008954041637480259,,5e-05
478,2,0.011416765861213207,,5e-05
479,2,0.338321328163147,,5e-05
480,2,0.011907889507710934,,5e-05
481,2,0.013911021873354912,,5e-05
482,2,0.011691550724208355,,5e-05
483,2,0.00935403537005186,,5e-05
484,2,0.006723001133650541,,5e-05
485,2,0.22067272663116455,,5e-05
486,2,0.7500959038734436,,5e-05
487,2,0.0248009841889143,,5e-05
488,2,0.011930509470403194,,5e-05
489,2,0.24675074219703674,,5e-05
490,2,0.14885182678699493,,5e-05
491,2,0.021581850945949554,,5e-05
492,2,0.5911226272583008,,5e-05
493,2,1.302760362625122,,5e-05
494,2,0.06145944073796272,,5e-05
495,2,0.013103273697197437,,5e-05
496,2,0.07727406173944473,,5e-05
497,2,0.25170090794563293,,5e-05
498,2,0.024553688243031502,,5e-05
499,2,0.08131953328847885,,5e-05
500,2,0.25896748900413513,,5e-05
501,2,0.07270272076129913,,5e-05
502,2,0.005231029819697142,,5e-05
503,2,0.3394434154033661,,5e-05
504,2,0.220883309841156,,5e-05
505,2,0.6381626725196838,,5e-05
506,2,0.16261692345142365,,5e-05
507,2,0.6064710021018982,,5e-05
508,2,0.003774788463488221,,5e-05
509,2,0.7928647994995117,,5e-05
510,2,0.19400744140148163,,5e-05
511,2,0.018970390781760216,,5e-05
512,2,0.02694014087319374,,5e-05
513,3,0.3301377296447754,,5e-05
514,3,0.2100873440504074,,5e-05
515,3,0.45092907547950745,,5e-05
516,3,0.09705987572669983,,5e-05
517,3,0.269053190946579,,5e-05
518,3,0.9468663930892944,,5e-05
519,3,0.02364208921790123,,5e-05
520,3,0.8049163222312927,,5e-05
521,3,0.06565649062395096,,5e-05
522,3,0.0026188946794718504,,5e-05
523,3,0.014746086671948433,,5e-05
524,3,1.0026850700378418,,5e-05
525,3,0.11650121957063675,,5e-05
526,3,0.20941801369190216,,5e-05
527,3,0.034582700580358505,,5e-05
528,3,0.20412598550319672,,5e-05
529,3,0.11843475699424744,,5e-05
530,3,0.22135351598262787,,5e-05
531,3,0.10808268934488297,,5e-05
532,3,0.08374591171741486,,5e-05
533,3,0.036331046372652054,,5e-05
534,3,0.9817532896995544,,5e-05
535,3,0.06374414265155792,,5e-05
536,3,2.7405524253845215,,5e-05
